"Year,Database,Killings"
"2013,WaPo 30 Cities,"
"2014,WaPo 30 Cities,"
"2015,WaPo 30 Cities,163"
"2016,WaPo 30 Cities,141"
"2017,WaPo 30 Cities,127"
"2018,WaPo 30 Cities,135"
"2019,WaPo 30 Cities,135"
"2013,Fatal Encounters 30 Cities,295"
"2014,Fatal Encounters 30 Cities,271"
"2015,Fatal Encounters 30 Cities,255"
"2016,Fatal Encounters 30 Cities,217"
"2017,Fatal Encounters 30 Cities,202"
"2018,Fatal Encounters 30 Cities,204"
"2019,Fatal Encounters 30 Cities,239"
"2013,MappingPoliceViolence 30 Cities,208"
"2014,MappingPoliceViolence 30 Cities,184"
"2015,MappingPoliceViolence 30 Cities,179"
"2016,MappingPoliceViolence 30 Cities,153"
"2017,MappingPoliceViolence 30 Cities,140"
"2018,MappingPoliceViolence 30 Cities,148"
"2019,MappingPoliceViolence 30 Cities,146"
"2013,WaPo All Other Agencies,"
"2014,WaPo All Other Agencies,"
"2015,WaPo All Other Agencies,831"
"2016,WaPo All Other Agencies,821"
"2017,WaPo All Other Agencies,859"
"2018,WaPo All Other Agencies,857"
"2019,WaPo All Other Agencies,869"
"2013,Fatal Encounters All Other Agencies,1473"
"2014,Fatal Encounters All Other Agencies,1429"
"2015,Fatal Encounters All Other Agencies,1351"
"2016,Fatal Encounters All Other Agencies,1377"
"2017,Fatal Encounters All Other Agencies,1565"
"2018,Fatal Encounters All Other Agencies,1643"
"2019,Fatal Encounters All Other Agencies,1556"
"2013,MappingPoliceViolence All Other Agencies,898"
"2014,MappingPoliceViolence All Other Agencies,866"
"2015,MappingPoliceViolence All Other Agencies,924"
"2016,MappingPoliceViolence All Other Agencies,918"
"2017,MappingPoliceViolence All Other Agencies,953"
"2018,MappingPoliceViolence All Other Agencies,994"
"2019,MappingPoliceViolence All Other Agencies,952"
"2013,WaPo Total Killings,"
"2014,WaPo Total Killings,"
"2015,WaPo Total Killings,994"
"2016,WaPo Total Killings,962"
"2017,WaPo Total Killings,986"
"2018,WaPo Total Killings,992"
"2019,WaPo Total Killings,1004"
"2013,Fatal Encounters Total Killings,1782"
"2014,Fatal Encounters Total Killings,1716"
"2015,Fatal Encounters Total Killings,1607"
"2016,Fatal Encounters Total Killings,1595"
"2017,Fatal Encounters Total Killings,1767"
"2018,Fatal Encounters Total Killings,1848"
"2019,Fatal Encounters Total Killings,1795"
"2013,MappingPoliceViolence Total Killings,1106"
"2014,MappingPoliceViolence Total Killings,1050"
"2015,MappingPoliceViolence Total Killings,1103"
"2016,MappingPoliceViolence Total Killings,1071"
"2017,MappingPoliceViolence Total Killings,1093"
"2018,MappingPoliceViolence Total Killings,1142"
"2019,MappingPoliceViolence Total Killings,1098"